topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0.011111763258177237,0.01111366419561161,0.011115272038537845,0.011111924469327213,0.011112129165799924,0.011112471784526914,0.8999805026750541,0.01111197203938156,0.011112146199130845,0.011118154174452709
0.020000050178164613,0.020000077944839142,0.02000158957149594,0.020000100770211544,0.020000109561923704,0.02000132325802098,0.02000029017981816,0.020000176280404024,0.020000184103968543,0.8199960981511534
0.0034490612706143666,0.0034492457802427173,0.243012941570121,0.003448734748888366,0.0034489057110844174,0.0034490083312566987,0.0034492973526017725,0.0034487650725927273,0.003448776451880313,0.7293952637107176
0.014287710573976386,0.014287330980387569,0.014292235581478633,0.014287481848718175,0.014288115587506868,0.014287744755372951,0.014287438986055688,0.01428994354374584,0.014287780570097294,0.8714042175726606
0.016667690112810378,0.016667481897190164,0.016671553242856036,0.016667554858553587,0.016667387801229415,0.016668513359859524,0.8499858073866159,0.01666926941506607,0.016667585672728687,0.0166671562530904
0.025003443726086132,0.0250021981091189,0.7749566431016818,0.025003005476677914,0.025002357852545537,0.025003213636944573,0.025005340897320393,0.02500270702494484,0.025003195982133963,0.025017894192546082
0.02500003712849327,0.025000093894822783,0.02500266968382682,0.025000114414029943,0.025000116990790938,0.025002247827128374,0.025000353639865823,0.025000130063480938,0.025000255218883424,0.7749939811386777
0.004545707172433918,0.0045457012047779785,0.004546191918014972,0.004545700404501167,0.004545685653826482,0.004547898245555215,0.9590860505283657,0.004545690969625985,0.004545688664458341,0.004545685238440296
0.02000062772098767,0.020000808968846366,0.02001623942841231,0.020000592820393726,0.020000610843810853,0.02000315479876207,0.020000735969745175,0.020000577898148218,0.020001022573237125,0.8199756289776565
0.05000500781305095,0.050004482893787824,0.05000138847788402,0.5499676170121202,0.050003506794734524,0.05000331102821022,0.050003669387663575,0.050005275697182015,0.05000493253163475,0.050000808363731976
0.0200011333743946,0.020001216124699916,0.02000253002458003,0.020000877364778073,0.020001119981179417,0.020002192652550176,0.020001072873913936,0.02000120321665015,0.020001327308728997,0.8199873270785247
0.008333429786275348,0.00833341373655121,0.9249961675331638,0.00833340328535072,0.008333456400302293,0.00833404272142614,0.008333581158676289,0.008333425156608473,0.008333517307861665,0.008335562913783937
0.020000127647227674,0.020000127818525188,0.02000245108729074,0.02000019147993915,0.020000166510882163,0.020001858674617547,0.020000207446398823,0.02000037180070021,0.020000362667884308,0.8199941348665343
0.016667825196702128,0.016667940373106902,0.016668209467433075,0.01666802459478121,0.016667815225618412,0.016667192079203315,0.016667391532086493,0.016670506620311984,0.016667828971437794,0.8499872659393186
0.016666778880732144,0.016666820456668275,0.8499978692024092,0.01666676670589778,0.016666874900576955,0.0166670014616751,0.016667340714859213,0.016666787995417435,0.016666831405142937,0.016666928276621036
0.020001874382047594,0.020001552366523907,0.020002010489749634,0.02000138673998252,0.020001931859706164,0.020002205918395948,0.020001305994922263,0.02000142415505421,0.0200014925752899,0.8199848155183278
0.004762068437318212,0.004762045461106767,0.0047633269676322625,0.004762076724731128,0.004762096729706566,0.00476251059993251,0.004762307617283088,0.0047621264360628605,0.004762091995326465,0.9571393490309001
0.025001684016648554,0.02501295431147445,0.02501017082064155,0.025002058963609228,0.025004963884367678,0.7749544974450242,0.025007187664410742,0.025001747507728673,0.025002093380366925,0.025002642005728066
0.016667521693285156,0.016667288534781288,0.8499855819328586,0.01666749598091489,0.01667005864888012,0.01666979085851659,0.01666776981553444,0.016667930701727108,0.0166676645342814,0.016668897299220567
0.050003487046205886,0.050001780989792584,0.05000128868030635,0.05000256234454762,0.05000229688698589,0.050001455787230906,0.05001586649372017,0.549966385767276,0.0500017870607959,0.050003088943138665
